# step avg_reward percentage_opt_action
0 -0.001950 0.090000
1 0.227822 0.133000
2 0.432858 0.168000
3 0.522522 0.178000
4 0.558911 0.209000
5 0.585633 0.229000
6 0.661467 0.234000
7 0.688467 0.239000
8 0.672648 0.256000
9 0.801794 0.283000
10 0.789452 0.280000
11 0.876044 0.293000
12 0.890678 0.311000
13 0.895315 0.305000
14 0.913688 0.311000
15 0.884340 0.318000
16 0.888195 0.328000
17 0.927929 0.338000
18 0.924268 0.334000
19 0.923524 0.335000
20 0.920957 0.335000
21 0.907130 0.335000
22 0.996870 0.355000
23 0.961654 0.358000
24 0.981091 0.358000
25 0.918322 0.362000
26 0.881782 0.357000
27 0.986090 0.367000
28 0.959824 0.374000
29 0.949051 0.365000
30 1.014011 0.373000
31 0.943155 0.359000
32 1.012089 0.358000
33 0.937587 0.365000
34 0.969363 0.371000
35 1.001350 0.376000
36 1.105305 0.375000
37 1.027337 0.381000
38 1.006067 0.375000
39 0.978174 0.381000
40 1.072356 0.382000
41 0.969584 0.380000
42 1.040876 0.396000
43 1.060635 0.384000
44 1.066078 0.405000
45 1.072086 0.401000
46 1.026601 0.386000
47 1.035130 0.389000
48 1.004817 0.393000
49 1.072196 0.407000
50 1.051863 0.405000
51 1.029095 0.402000
52 0.956907 0.383000
53 1.023306 0.389000
54 1.045000 0.405000
55 1.056506 0.406000
56 1.095489 0.420000
57 1.081587 0.416000
58 1.066228 0.414000
59 1.024715 0.403000
60 1.053909 0.424000
61 1.130999 0.425000
62 1.026053 0.423000
63 1.048944 0.424000
64 1.082894 0.430000
65 1.073488 0.427000
66 1.068398 0.426000
67 1.035405 0.411000
68 1.094929 0.428000
69 1.125867 0.420000
70 1.081010 0.422000
71 1.087868 0.418000
72 1.017995 0.420000
73 1.006172 0.433000
74 1.072065 0.423000
75 1.045255 0.433000
76 1.050852 0.431000
77 1.073726 0.434000
78 1.053045 0.435000
79 1.126572 0.435000
80 1.086664 0.429000
81 1.111295 0.439000
82 1.040794 0.432000
83 1.082040 0.429000
84 1.148204 0.433000
85 1.023898 0.434000
86 1.092593 0.442000
87 1.045370 0.425000
88 1.079063 0.446000
89 1.077697 0.440000
90 1.126778 0.453000
91 1.158779 0.439000
92 1.164710 0.449000
93 1.106618 0.435000
94 1.132901 0.447000
95 1.134035 0.445000
96 1.121368 0.441000
97 1.111921 0.451000
98 1.046284 0.446000
99 1.085808 0.440000
100 1.121780 0.450000
101 1.057739 0.450000
102 1.082785 0.436000
103 1.100088 0.443000
104 1.064588 0.437000
105 1.063936 0.445000
106 1.131156 0.449000
107 1.094247 0.450000
108 1.144939 0.465000
109 1.109872 0.463000
110 1.092462 0.456000
111 1.151055 0.466000
112 1.123173 0.464000
113 1.117504 0.470000
114 1.106982 0.462000
115 1.042307 0.457000
116 1.089634 0.466000
117 1.137904 0.469000
118 1.110556 0.472000
119 1.114120 0.466000
120 1.080329 0.466000
121 1.116009 0.465000
122 1.099385 0.488000
123 1.150046 0.476000
124 1.061882 0.474000
125 1.106524 0.461000
126 1.166649 0.467000
127 1.144100 0.488000
128 1.100809 0.471000
129 1.040614 0.475000
130 1.171241 0.477000
131 1.086456 0.475000
132 1.133378 0.489000
133 1.154363 0.475000
134 1.110764 0.483000
135 1.157839 0.479000
136 1.142029 0.486000
137 1.147298 0.474000
138 1.125674 0.488000
139 1.105934 0.486000
140 1.132683 0.479000
141 1.122661 0.493000
142 1.156279 0.489000
143 1.127157 0.487000
144 1.173013 0.497000
145 1.136543 0.482000
146 1.081649 0.483000
147 1.137085 0.497000
148 1.177890 0.492000
149 1.146913 0.490000
150 1.177138 0.502000
151 1.150138 0.489000
152 1.188613 0.499000
153 1.138168 0.488000
154 1.111495 0.495000
155 1.218303 0.506000
156 1.206545 0.495000
157 1.221211 0.496000
158 1.107374 0.506000
159 1.085569 0.493000
160 1.146175 0.492000
161 1.149830 0.495000
162 1.160301 0.490000
163 1.132810 0.492000
164 1.164822 0.494000
165 1.124283 0.505000
166 1.121656 0.500000
167 1.132221 0.500000
168 1.184884 0.521000
169 1.201739 0.490000
170 1.199768 0.508000
171 1.155185 0.481000
172 1.222408 0.519000
173 1.135389 0.503000
174 1.142625 0.491000
175 1.164416 0.497000
176 1.168690 0.501000
177 1.190600 0.515000
178 1.180510 0.508000
179 1.199563 0.515000
180 1.195088 0.515000
181 1.114595 0.504000
182 1.165318 0.513000
183 1.232865 0.510000
184 1.171955 0.524000
185 1.186649 0.522000
186 1.194378 0.509000
187 1.222060 0.513000
188 1.214498 0.506000
189 1.218372 0.522000
190 1.143530 0.508000
191 1.274935 0.513000
192 1.197792 0.515000
193 1.193573 0.507000
194 1.123377 0.512000
195 1.160669 0.518000
196 1.235819 0.520000
197 1.201969 0.522000
198 1.200530 0.516000
199 1.223567 0.525000
200 1.193290 0.523000
201 1.146316 0.515000
202 1.174689 0.519000
203 1.216754 0.527000
204 1.241991 0.526000
205 1.160938 0.528000
206 1.204728 0.528000
207 1.211830 0.523000
208 1.261054 0.522000
209 1.201995 0.516000
210 1.120746 0.518000
211 1.186359 0.532000
212 1.163846 0.530000
213 1.268674 0.542000
214 1.120520 0.518000
215 1.211719 0.534000
216 1.137762 0.541000
217 1.133232 0.532000
218 1.199043 0.535000
219 1.212105 0.528000
220 1.217516 0.527000
221 1.211595 0.539000
222 1.225043 0.530000
223 1.215876 0.528000
224 1.168620 0.515000
225 1.147656 0.540000
226 1.230559 0.541000
227 1.245414 0.542000
228 1.174407 0.527000
229 1.180877 0.534000
230 1.247129 0.544000
231 1.198792 0.551000
232 1.227456 0.529000
233 1.199004 0.550000
234 1.253289 0.547000
235 1.232132 0.535000
236 1.171103 0.530000
237 1.180286 0.535000
238 1.170042 0.555000
239 1.166986 0.549000
240 1.249725 0.547000
241 1.196159 0.552000
242 1.242857 0.538000
243 1.226724 0.541000
244 1.120784 0.541000
245 1.218239 0.551000
246 1.184894 0.547000
247 1.244854 0.546000
248 1.224963 0.551000
249 1.180722 0.555000
250 1.237395 0.554000
251 1.193245 0.546000
252 1.169412 0.545000
253 1.262234 0.539000
254 1.227181 0.549000
255 1.200788 0.554000
256 1.198918 0.540000
257 1.210109 0.550000
258 1.220747 0.539000
259 1.251562 0.541000
260 1.215245 0.551000
261 1.273137 0.561000
262 1.226490 0.569000
263 1.237792 0.551000
264 1.228963 0.551000
265 1.243951 0.564000
266 1.190610 0.556000
267 1.229831 0.554000
268 1.190754 0.549000
269 1.140997 0.560000
270 1.157513 0.554000
271 1.217433 0.548000
272 1.305159 0.566000
273 1.211183 0.556000
274 1.247956 0.541000
275 1.190807 0.557000
276 1.220625 0.547000
277 1.195511 0.567000
278 1.178858 0.546000
279 1.238095 0.552000
280 1.245884 0.573000
281 1.172367 0.543000
282 1.320337 0.571000
283 1.287057 0.570000
284 1.166880 0.551000
285 1.215910 0.559000
286 1.254195 0.568000
287 1.230345 0.563000
288 1.240026 0.575000
289 1.197567 0.560000
290 1.241938 0.558000
291 1.248163 0.553000
292 1.210992 0.551000
293 1.213402 0.561000
294 1.200245 0.563000
