# step avg_reward percentage_opt_action
0 -0.030609 0.093000
1 0.265076 0.147000
2 0.412508 0.182000
3 0.598878 0.216000
4 0.628693 0.226000
5 0.609852 0.242000
6 0.723738 0.249000
7 0.759436 0.267000
8 0.706132 0.274000
9 0.806615 0.294000
10 0.826291 0.295000
11 0.905833 0.307000
12 0.930243 0.326000
13 0.882442 0.320000
14 0.923336 0.333000
15 0.916339 0.333000
16 0.936156 0.354000
17 0.957170 0.339000
18 0.963242 0.350000
19 1.010827 0.356000
20 1.002225 0.350000
21 0.881394 0.351000
22 0.894861 0.366000
23 0.958581 0.365000
24 0.984265 0.371000
25 0.986284 0.374000
26 0.947858 0.370000
27 0.957452 0.368000
28 0.976287 0.377000
29 0.937887 0.384000
30 1.031474 0.381000
31 1.034201 0.391000
32 0.976133 0.385000
33 1.006154 0.400000
34 1.007057 0.387000
35 1.022117 0.397000
36 1.045784 0.388000
37 0.956603 0.392000
38 1.025359 0.408000
39 1.003709 0.391000
40 1.000441 0.397000
41 1.049801 0.394000
42 0.997374 0.394000
43 0.945555 0.403000
44 0.998304 0.410000
45 1.055751 0.407000
46 0.950390 0.408000
47 0.983537 0.416000
48 1.032550 0.404000
49 1.050695 0.405000
50 1.026351 0.428000
51 1.041331 0.419000
52 1.058051 0.419000
53 1.094659 0.419000
54 1.022175 0.406000
55 1.058909 0.426000
56 1.059770 0.425000
57 1.094049 0.417000
58 1.070492 0.433000
59 1.075806 0.438000
60 1.023293 0.434000
61 1.102063 0.440000
62 1.122522 0.440000
63 1.001425 0.433000
64 1.057122 0.442000
65 1.039207 0.449000
66 1.120607 0.433000
67 1.073551 0.434000
68 1.049795 0.448000
69 1.092589 0.439000
70 0.999837 0.441000
71 1.034387 0.432000
72 1.093591 0.460000
73 1.075541 0.449000
74 1.075257 0.447000
75 1.033865 0.451000
76 1.151175 0.459000
77 1.091856 0.453000
78 1.087548 0.462000
79 1.110513 0.453000
80 1.043313 0.457000
81 1.082491 0.465000
82 1.086507 0.465000
83 1.155652 0.472000
84 1.112764 0.466000
85 1.126893 0.466000
86 1.059327 0.456000
87 1.145345 0.457000
88 1.118133 0.461000
89 1.146447 0.464000
90 1.068374 0.455000
91 1.026338 0.467000
92 1.114665 0.479000
93 1.115433 0.450000
94 1.137570 0.464000
95 1.097084 0.474000
96 1.154008 0.470000
97 1.113325 0.475000
98 1.163679 0.480000
99 1.109493 0.485000
100 1.065769 0.473000
101 1.109777 0.478000
102 1.054694 0.464000
103 1.118367 0.476000
104 1.085828 0.476000
105 1.158846 0.482000
106 1.061683 0.477000
107 1.120222 0.468000
108 1.164697 0.485000
109 1.099046 0.478000
110 1.171484 0.489000
111 1.203244 0.486000
112 1.156922 0.500000
113 1.136056 0.496000
114 1.146782 0.486000
115 1.139743 0.500000
116 1.038874 0.484000
117 1.198580 0.501000
118 1.155928 0.489000
119 1.148623 0.507000
120 1.154454 0.498000
121 1.142317 0.495000
122 1.091235 0.510000
123 1.159561 0.507000
124 1.160914 0.508000
125 1.102612 0.490000
126 1.186709 0.513000
127 1.185263 0.505000
128 1.108379 0.499000
129 1.114957 0.493000
130 1.188525 0.508000
131 1.073447 0.490000
132 1.156496 0.510000
133 1.174066 0.503000
134 1.196067 0.503000
135 1.157507 0.497000
136 1.160433 0.502000
137 1.137689 0.509000
138 1.151581 0.501000
139 1.171317 0.512000
140 1.142026 0.512000
141 1.171066 0.510000
142 1.162530 0.507000
143 1.136643 0.520000
144 1.169915 0.519000
145 1.240952 0.534000
146 1.169290 0.513000
147 1.213610 0.517000
148 1.205321 0.524000
149 1.151150 0.514000
150 1.110188 0.504000
151 1.212507 0.520000
152 1.143855 0.523000
153 1.193269 0.528000
154 1.246096 0.538000
155 1.153199 0.523000
156 1.233229 0.544000
157 1.164139 0.532000
158 1.120463 0.521000
159 1.188294 0.525000
160 1.184564 0.528000
161 1.132832 0.523000
162 1.196956 0.533000
163 1.193738 0.542000
164 1.158109 0.525000
165 1.091517 0.533000
166 1.227596 0.538000
167 1.153920 0.524000
168 1.162670 0.535000
169 1.208124 0.529000
170 1.196207 0.546000
171 1.168481 0.534000
172 1.175616 0.522000
173 1.183786 0.535000
