# step avg_reward percentage_opt_action
0 -0.006328 0.086000
1 0.305703 0.128000
2 0.422282 0.154000
3 0.441854 0.188000
4 0.552068 0.195000
5 0.602555 0.211000
6 0.648279 0.233000
7 0.677377 0.246000
8 0.723706 0.259000
9 0.751772 0.254000
10 0.845782 0.272000
11 0.789686 0.271000
12 0.783567 0.281000
13 0.885744 0.291000
14 0.912538 0.300000
15 0.839708 0.303000
16 0.876549 0.312000
17 0.945299 0.317000
18 0.885304 0.319000
19 0.927308 0.323000
20 0.910630 0.324000
21 0.869278 0.333000
22 0.940731 0.323000
23 0.886776 0.326000
24 0.955590 0.325000
25 0.959372 0.336000
26 0.938411 0.350000
27 0.998967 0.351000
28 1.002962 0.353000
29 0.881981 0.358000
30 0.946103 0.351000
31 0.969201 0.354000
32 0.901290 0.359000
33 0.931995 0.360000
34 0.939837 0.354000
35 1.019000 0.362000
36 0.963831 0.362000
37 0.969057 0.358000
38 1.009432 0.349000
39 0.886645 0.366000
40 1.016834 0.358000
41 0.956359 0.365000
42 1.016222 0.369000
43 0.976667 0.354000
44 0.954141 0.369000
45 1.001164 0.373000
46 1.030788 0.381000
47 1.034590 0.380000
48 0.984707 0.377000
49 0.986527 0.378000
50 0.912224 0.381000
51 0.988455 0.386000
52 1.065498 0.385000
53 1.013725 0.387000
54 0.989992 0.379000
55 1.031679 0.390000
56 1.058961 0.391000
57 1.071604 0.387000
58 1.117964 0.395000
59 1.055288 0.399000
60 1.027043 0.398000
61 1.046694 0.396000
62 1.023993 0.395000
63 1.075058 0.393000
64 1.043801 0.400000
65 1.013350 0.401000
66 0.962129 0.394000
67 1.111253 0.407000
68 0.995480 0.415000
69 1.033172 0.402000
70 1.002305 0.399000
71 0.993162 0.397000
72 1.032041 0.398000
73 1.007225 0.401000
74 1.064898 0.417000
75 1.027014 0.401000
76 1.013815 0.403000
77 1.113685 0.404000
78 1.031242 0.409000
79 1.023217 0.403000
80 1.079795 0.415000
81 1.078967 0.408000
82 1.049678 0.416000
83 1.049842 0.417000
84 0.998636 0.407000
85 1.042502 0.418000
86 1.053462 0.406000
87 1.027211 0.410000
88 1.030775 0.410000
89 0.985484 0.411000
90 1.079131 0.433000
91 1.007255 0.428000
92 1.048012 0.416000
93 1.188451 0.424000
94 1.039138 0.429000
95 1.111372 0.437000
96 1.079585 0.442000
97 1.042303 0.419000
98 1.080078 0.431000
99 1.128379 0.422000
100 1.108719 0.435000
101 1.063757 0.439000
102 1.138882 0.447000
103 1.017118 0.418000
104 1.035906 0.432000
105 1.076065 0.436000
106 1.081553 0.437000
107 1.067438 0.435000
108 1.061306 0.431000
109 1.118495 0.445000
110 1.113793 0.439000
111 1.033685 0.431000
112 1.113342 0.446000
