# step avg_reward percentage_opt_action
0 0.030684 0.108000
1 0.294985 0.160000
2 0.429591 0.176000
3 0.578953 0.188000
4 0.562228 0.209000
5 0.599268 0.236000
6 0.679401 0.235000
7 0.707754 0.248000
8 0.723711 0.260000
9 0.821568 0.274000
10 0.745008 0.283000
11 0.817110 0.290000
12 0.848370 0.291000
13 0.853655 0.282000
14 0.846035 0.296000
15 0.841194 0.306000
16 0.864687 0.305000
17 0.852067 0.314000
18 0.899847 0.327000
19 0.827567 0.326000
20 1.008935 0.322000
21 0.913172 0.322000
22 0.921696 0.325000
23 0.927642 0.328000
24 0.927908 0.334000
25 0.897071 0.342000
26 0.986791 0.342000
27 0.920564 0.340000
28 0.903188 0.340000
29 0.941408 0.341000
30 0.987210 0.361000
31 0.915517 0.345000
32 0.992923 0.356000
33 0.973720 0.348000
34 0.989067 0.368000
35 0.973558 0.364000
36 0.951754 0.360000
37 0.967117 0.361000
38 0.960951 0.364000
39 0.959789 0.362000
40 1.016389 0.364000
41 0.990316 0.361000
42 0.945759 0.378000
43 0.966260 0.354000
44 0.963488 0.374000
45 0.974593 0.369000
46 1.013507 0.382000
47 1.069213 0.380000
48 0.944006 0.368000
49 0.966503 0.379000
50 0.965935 0.374000
51 1.001785 0.384000
52 1.026139 0.383000
53 0.977536 0.375000
54 1.063838 0.388000
55 0.999341 0.385000
56 0.980183 0.382000
57 1.031662 0.394000
58 1.056349 0.397000
59 1.056974 0.391000
60 1.010481 0.390000
61 1.017646 0.392000
62 0.992751 0.394000
63 0.966402 0.396000
64 1.040669 0.402000
65 0.996581 0.388000
66 1.013391 0.385000
67 1.054009 0.392000
68 1.080543 0.405000
69 1.037866 0.401000
70 1.059977 0.395000
71 1.046747 0.395000
72 1.003276 0.408000
73 0.978583 0.400000
74 1.032974 0.400000
75 1.042782 0.399000
76 1.082964 0.400000
77 1.001380 0.407000
78 0.960801 0.388000
79 1.053301 0.405000
80 1.059778 0.411000
81 1.093394 0.411000
82 1.112288 0.412000
83 1.000128 0.404000
84 1.025380 0.407000
85 1.031410 0.414000
86 1.008245 0.412000
87 1.061210 0.411000
88 1.034572 0.427000
89 0.984694 0.424000
90 1.055200 0.434000
91 1.016680 0.419000
92 1.012491 0.420000
93 1.093833 0.424000
94 1.085257 0.430000
95 1.087227 0.430000
